row_index,id,original_id,speaker_id,utterance_id,age,gender,duration_seconds,sample_rate,target,separate_tide,the_tight_noon,concealment,n_duplicates_in_group,split,target_had_conflict,separate_tide_had_conflict,the_tight_noon_had_conflict,concealment_had_conflict
163,34e4e626,s114_8,114,8,30,0,5.38,16000,0,0,1.0,0,1,train,False,False,False,False
1139,457bd338,s63_6,63,6,30,0,12.72,16000,1,1,1.0,1,1,train,False,False,False,False
500,2a38a026,s145_8,145,8,16,1,3.74,16000,0,0,0.0,0,1,train,False,False,False,False
379,e60b0092,s134_6,134,6,48,1,7.4,16000,1,1,1.0,1,1,train,False,False,False,False
344,d603f8a9,s131_10,131,10,22,0,5.76,16000,0,0,1.0,0,1,train,False,False,False,False
990,87942d80,s47_6,47,6,16,0,5.0945,16000,0,0,0.0,0,1,train,False,False,False,False
125,6012263e,s110_7,110,7,27,1,11.76,16000,1,1,1.0,1,1,train,False,False,False,False
551,09139bb7,s150_2,150,2,21,1,9.22,16000,0,0,1.0,1,1,train,False,False,False,False
596,966f3b80,s155_1,155,1,60,1,14.5493125,16000,1,1,1.0,1,1,train,False,False,False,False
432,b7bcc25e,s139_9,139,9,31,0,9.84,16000,1,1,1.0,1,1,train,False,False,False,False
369,09e7c2b4,s133_6,133,6,49,0,8.7,16000,1,1,1.0,1,1,train,False,False,False,False
161,d2c7345d,s114_6,114,6,30,0,5.34,16000,0,0,1.0,0,1,train,False,False,False,False
1494,54bee16d,s99_10,99,10,52,0,10.74,16000,1,1,1.0,1,1,train,False,False,False,False
1138,396d4967,s63_5,63,5,30,0,12.66,16000,1,1,1.0,1,1,train,False,False,False,False
642,33fc14f9,s159_8,159,8,22,1,11.1,16000,1,1,1.0,1,1,train,False,False,False,False
960,9cd0b04b,s44_2,44,2,35,0,8.76,16000,0,0,1.0,0,1,train,False,False,False,False
630,1945729f,s158_6,158,6,24,1,11.0293125,16000,0,1,1.0,0,1,train,False,False,False,False
249,563c47ab,s122_6,122,6,47,0,7.6858125,16000,0,0,0.0,0,1,train,False,False,False,False
347,7b7bca13,s131_4,131,4,22,0,6.14,16000,0,0,1.0,0,1,train,False,False,False,False
1331,df608ce7,s83_10,83,10,25,1,7.74,16000,1,1,1.0,1,1,train,False,False,False,False
962,28771d87,s44_4,44,4,35,0,7.1,16000,0,0,1.0,0,1,train,False,False,False,False
110,15389942,s10_2,10,2,40,1,6.5493125,16000,0,1,0.0,0,1,train,False,False,False,False
1215,d1e6c45b,s71_10,71,10,40,0,10.96,16000,1,1,1.0,1,1,train,False,False,False,False
201,61cbea99,s118_7,118,7,14,0,8.5,16000,0,0,1.0,0,1,train,False,False,False,False
504,b6f0f81d,s146_2,146,2,53,0,8.128,16000,0,1,1.0,0,1,train,False,False,False,False
1231,91e7bd55,s72_7,72,7,10,0,9.12,16000,0,0,1.0,0,1,train,False,False,False,False
932,9765e145,s40_7,40,7,25,0,4.78,16000,0,0,1.0,1,1,train,False,False,False,False
875,8235b35c,s35_9,35,9,57,0,10.7946875,16000,1,1,1.0,1,1,train,False,False,False,False
1446,766796ff,s94_3,94,3,23,0,12.16725,16000,1,1,1.0,1,1,train,False,False,False,False
1238,5f274540,s73_4,73,4,11,0,6.66,16000,0,0,1.0,0,1,train,False,False,False,False
113,728c7c42,s10_5,10,5,40,1,9.6213125,16000,0,0,1.0,0,1,train,False,False,False,False
138,0bc02b5c,s112_1,112,1,25,1,5.58,16000,0,0,1.0,0,1,train,False,False,False,False
501,74c5ab11,s145_9,145,9,16,1,3.64,16000,0,0,0.0,0,1,train,False,False,False,False
754,ff84928a,s24_6,24,6,57,0,13.82,16000,0,1,1.0,0,1,train,False,False,False,False
1424,498d301e,s92_1,92,1,51,1,11.52,16000,1,1,1.0,1,1,train,False,False,False,False
122,158d9d2f,s110_4,110,4,27,1,11.76,16000,1,1,1.0,1,1,train,False,False,False,False
1498,2ae651ca,s99_5,99,5,52,0,10.14,16000,1,1,1.0,1,1,train,False,False,False,False
472,890c4adc,s143_1,143,1,42,0,9.68,16000,1,1,1.0,1,1,train,False,False,False,False
1389,ee4f6c86,s89_4,89,4,62,1,12.94,16000,1,1,1.0,1,1,train,False,False,False,False
1216,2a35f34f,s71_2,71,2,40,0,9.58,16000,1,1,1.0,1,1,train,False,False,False,False
1041,7292a7ed,s52_1,52,1,8,0,7.04,16000,0,0,0.0,0,1,train,False,False,False,False
1473,9061b0e6,s97_1,97,1,62,1,10.94,16000,1,1,1.0,1,1,train,False,False,False,False
619,5d34085a,s157_5,157,5,29,1,12.2369375,16000,1,1,1.0,1,1,train,False,False,False,False
319,c9c6ae5c,s129_6,129,6,33,0,12.72,16000,1,1,1.0,1,1,train,False,False,False,False
1183,127dfb57,s68_8,68,8,53,1,10.1935625,16000,0,1,1.0,0,1,train,False,False,False,False
1450,24808599,s94_7,94,7,23,0,10.658,16000,1,1,1.0,1,1,train,False,False,False,False
70,ab8bd8d3,s106_10,106,10,40,0,6.9,16000,0,0,1.0,0,1,train,False,False,False,False
756,3bc0c3c1,s24_8,24,8,57,0,14.16,16000,0,1,1.0,0,1,train,False,False,False,False
251,1564d626,s122_8,122,8,47,0,7.058875,16000,0,0,0.0,0,1,train,False,False,False,False
7,eaa2bcb6,s0_7,0,7,14,1,7.06,16000,0,0,1.0,1,1,train,False,False,False,False
888,9bc9e727,s37_2,37,2,30,0,12.08,16000,1,1,1.0,1,1,train,False,False,False,False
55,a747d731,s104_6,104,6,40,0,10.4954375,16000,1,1,1.0,1,1,train,False,False,False,False
496,8eb04084,s145_4,145,4,16,1,4.12,16000,0,0,0.0,0,1,train,False,False,False,False
248,2026b959,s122_5,122,5,47,0,8.0573125,16000,0,0,0.0,0,1,train,False,False,False,False
1064,ace48b08,s55_1,55,1,41,0,9.2,16000,1,1,1.0,1,1,train,False,False,False,False
587,7cc3d3ce,s154_1,154,1,60,1,15.4666875,16000,0,1,1.0,0,1,train,False,False,False,False
207,db0ce3d7,s119_4,119,4,10,0,6.12,16000,0,0,0.0,0,1,train,False,False,False,False
1342,8e02c950,s84_2,84,2,33,0,12.04,16000,1,1,1.0,1,1,train,False,False,False,False
1,55f305be,s0_10,0,10,14,1,7.38,16000,0,0,1.0,1,1,train,False,False,False,False
56,13646e4d,s104_7,104,7,40,0,11.122375,16000,1,1,1.0,1,1,train,False,False,False,False
436,023f64bc,s13_3,13,3,24,1,10.2168125,16000,0,1,1.0,0,1,train,False,False,False,False
740,9632ad7f,s23_2,23,2,51,0,11.2849375,16000,0,1,1.0,0,1,train,False,False,False,False
345,39c0e661,s131_2,131,2,22,0,6.14,16000,0,0,1.0,0,1,train,False,False,False,False
208,aff1b4ff,s119_5,119,5,10,0,4.58,16000,0,0,0.0,0,1,train,False,False,False,False
707,ceb88f72,s1_9,1,9,49,0,6.68,16000,0,0,1.0,1,1,train,False,False,False,False
602,de31a748,s155_7,155,7,60,1,14.464,16000,1,1,1.0,1,1,train,False,False,False,False
140,a52a7c1c,s112_3,112,3,25,1,6.26,16000,0,0,1.0,0,1,train,False,False,False,False
784,342919fc,s27_6,27,6,68,0,8.3,16000,0,0,0.0,0,1,train,False,False,False,False
939,2c61fd0e,s41_5,41,5,53,0,9.94,16000,0,1,1.0,0,1,train,False,False,False,False
762,7d7cf045,s25_4,25,4,60,0,8.8,16000,0,1,1.0,0,1,train,False,False,False,False
